,unique_id,material,label,minor_axis_length,area,eccentricity,major_axis_length,bbox,red_intensity_mean,green_intensity_mean,blue_intensity_mean,red_intensity_sd,green_intensity_sd,blue_intensity_sd,hue_intensity_mean,sat_intensity_mean,val_intensity_mean,hue_intensity_sd,sat_intensity_sd,val_intensity_sd
25,pyt_2018_lwr5_2468_2021_1004,berry,26,1.6914929973922013,3.517376570679833,0.7730662994740787,2.666602113662796,"(946, 155, 1036, 293)",116.72741730279898,40.653944020356235,25.934690415606447,38.129280707530995,24.145797941589176,12.55899466683389,26.54124257845632,198.25508905852416,116.72741730279898,57.586101000861696,22.478734309432777,38.129280707530995
0,pyt_2018_lwr5_2160_2021_0915,berry,1,1.8352106928073852,3.2750309942219165,0.5921246808755017,2.2773704454064627,"(109, 622, 225, 719)",114.67983510821024,24.067788846902552,20.162258101454253,31.805713911449747,9.709273675484996,6.930790016602407,20.354975380739724,209.34375357838084,114.67983510821024,54.86239991212271,16.005180841900604,31.805713911449747
1,pyt_2018_lwr5_2160_2021_0915,berry,2,1.8203232457373377,3.219153332692194,0.5908245872583024,2.256226018749209,"(118, 797, 215, 911)",78.33923578751165,17.313606710158435,19.14049394221808,22.230822665758637,7.6693809914621545,8.004182302520125,121.21225535880708,199.00582479030754,78.33923578751165,83.1073966853911,18.560434112403637,22.230822665758637
2,pyt_2018_lwr5_2160_2021_0915,berry,3,1.968688693288602,3.299782173154545,0.3878895530991507,2.1359186006425626,"(119, 262, 220, 372)",109.21968405500625,21.394476645073304,19.335606318899874,33.102653931676535,7.746566547790338,7.222204671426711,42.42345721104671,208.33185589271508,109.21968405500625,74.95692000491793,21.08032085511548,33.102653931676535
3,pyt_2018_lwr5_2160_2021_0915,berry,4,1.7582804343411838,2.8553860059550753,0.5282292840311453,2.0707534563055754,"(124, 443, 223, 546)",122.64289466771736,22.336748095613345,20.89125295508274,28.567952783978104,8.361501470454066,8.769634112066651,13.05358550039401,211.50827423167848,122.64289466771736,45.472437777925165,18.02518077409992,28.567952783978104
4,pyt_2018_lwr5_2160_2021_0915,berry,5,1.7991620096547019,2.8295097734345998,0.44410260013759617,2.0080472414316968,"(207, 538, 302, 641)",91.8856196156395,18.507090788601722,17.90099403578529,33.99785649838624,8.329384384237867,7.495287165577054,63.78807157057654,205.67064280980782,91.8856196156395,84.97783137915104,17.96972841978323,33.99785649838624
5,pyt_2018_lwr5_2160_2021_0915,berry,6,1.8004771451887098,2.9993928651994604,0.5302415239700323,2.1235882276567826,"(207, 902, 303, 1008)",109.40935233808452,21.386721680420106,19.97336834208552,38.38922577650621,12.317397789402726,11.240473877704483,42.33858464616154,209.83970992748186,109.40935233808452,75.31311077933967,19.492044491676477,38.38922577650621
6,pyt_2018_lwr5_2160_2021_0915,berry,7,1.9337063250817181,3.474165479270793,0.5376089105097044,2.2933104289880615,"(211, 175, 325, 277)",85.33689550949914,18.72722366148532,19.07502158894646,25.449384111894467,7.750171972802064,7.9727438051098405,81.45725388601036,200.8158462867012,85.33689550949914,88.57536155929826,18.96652990578979,25.449384111894467
7,pyt_2018_lwr5_2160_2021_0915,berry,8,1.7799532811893428,2.623249948996027,0.3178184955083482,1.8772876967469534,"(216, 363, 309, 461)",84.11708363116512,17.746962115796997,16.958398856325946,23.999282537840678,9.484166278554987,8.916392643056115,74.8687634024303,206.45789849892782,84.11708363116512,87.27261890589651,20.329425467277307,23.999282537840678
8,pyt_2018_lwr5_2160_2021_0915,berry,9,1.690752874185666,2.7627565938890255,0.5853655185950805,2.0853680840326025,"(222, 712, 308, 818)",86.89697298764762,15.96755802904846,16.461789059318583,24.66443945106535,7.119710226045462,7.710601292022492,75.92805755395683,209.55409257499662,86.89697298764762,88.01510590026852,17.925824096945085,24.66443945106535
9,pyt_2018_lwr5_2160_2021_0915,berry,10,1.9161387211824095,3.3076575482694723,0.49186617431792307,2.200761401560503,"(300, 441, 410, 544)",77.33287981859411,15.242517006802721,16.0562358276644,20.77284733711836,6.778803967798284,7.428831703540787,83.63321995464852,205.4562358276644,77.33287981859411,88.91206161946351,19.76874840487899,20.77284733711836
10,pyt_2018_lwr5_2160_2021_0915,berry,11,1.591506197948254,2.612374430980175,0.650159092808126,2.0946435588485253,"(309, 621, 393, 728)",100.25150732127476,18.097186333620442,17.482342807924205,29.37865342287329,8.801143180419684,8.234638018912728,52.79112833763997,213.786391042205,100.25150732127476,80.99724680274943,14.86296940672498,29.37865342287329
11,pyt_2018_lwr5_2160_2021_0915,berry,12,1.6639320113609157,2.3202355160026333,0.35261767590461407,1.7781468674758196,"(314, 270, 406, 357)",76.35509940197187,15.191853887182802,16.393405527719413,19.38876404268556,6.541993867474035,7.240990689723686,100.05026668821723,205.07483433004688,76.35509940197187,88.36650737785952,18.12859418761421,19.38876404268556
12,pyt_2018_lwr5_2160_2021_0915,berry,13,1.3242548057244325,1.7329575431466249,0.6090220721062266,1.6696076906231314,"(314, 819, 396, 894)",108.11014931832936,21.083964509846354,21.316598138930967,30.841354092634322,9.037652630304061,8.757224944598946,65.74226357931184,208.09175503137848,108.11014931832936,85.91266209789838,14.778543374396662,30.841354092634322
13,pyt_2018_lwr5_2160_2021_0915,berry,14,1.9009479810712473,3.5079170869061955,0.5893913301085332,2.35310201248551,"(387, 534, 507, 631)",112.0219157579645,17.03602736797092,16.46835578362198,24.711866429899192,8.926042902918738,8.849217607658197,17.48182595680992,219.12914261278598,112.0219157579645,52.599803229754784,15.07087523265843,24.711866429899192
14,pyt_2018_lwr5_2160_2021_0915,berry,15,1.7691456243419017,2.5167448760132007,0.23247457579107478,1.81898121010624,"(391, 905, 483, 996)",108.9701981820891,23.13753538965877,20.644315303233498,37.86092400258309,12.04359323901679,9.458628363477208,40.3504693786321,207.57055580390403,108.9701981820891,73.65530606859245,14.3396042487738,37.86092400258309
15,pyt_2018_lwr5_2160_2021_0915,berry,16,1.5969371971900879,2.2984844799709294,0.49618690683117694,1.8393322562121457,"(394, 365, 490, 449)",139.22907488986783,39.87958883994126,26.751835535976504,29.657390958226834,20.653340470726555,12.622934669176471,3.754609234785446,208.3240332843857,139.22907488986783,9.010181984359352,14.664944887908014,29.657390958226834
16,pyt_2018_lwr5_2160_2021_0915,berry,17,1.727703083283257,2.3952390885257504,0.21204731693612802,1.7679063336084422,"(394, 726, 486, 817)",138.27321121027086,39.92750900266166,26.154532644434006,25.73042021146078,18.37019695065006,12.892495940896213,3.796304994520119,208.63143886018474,138.27321121027086,6.828503711649734,16.14169490968052,25.73042021146078
17,pyt_2018_lwr5_2160_2021_0915,berry,18,1.643014891388416,2.721504629001311,0.628284961093679,2.111889678677154,"(412, 178, 498, 285)",105.41876808598595,18.620504340636625,17.945983188645446,30.377021759603448,8.02346762016275,7.30770974130847,33.9112580956318,213.47995039272428,105.41876808598595,69.6152211824809,11.708951106062125,30.377021759603448
18,pyt_2018_lwr5_2160_2021_0915,berry,19,1.746427128518489,2.6285001990726453,0.4140657167678924,1.9186299414818775,"(477, 810, 576, 900)",73.78028249393637,14.895562847767156,16.80196889713226,21.145952916129236,6.315000722739601,7.18596241021708,118.15508631759167,203.18276501640747,73.78028249393637,84.12332937018623,18.853214522173328,21.145952916129236
19,pyt_2018_lwr5_2160_2021_0915,berry,20,1.6758933754645962,2.4124899102060677,0.40994303296854717,1.8373784993073863,"(479, 635, 572, 722)",125.73822477848593,23.337012280429036,20.09140369967356,31.189220503224874,11.381772576727494,10.605896416793849,3.4929270946681177,216.24249961137883,125.73822477848593,21.265014184285395,14.601104177960162,31.189220503224874
20,pyt_2018_lwr5_2160_2021_0915,berry,21,1.5791238178246954,2.4207403031836106,0.5901570395268351,1.956083708220211,"(486, 454, 588, 536)",78.34670797831139,14.607126258714175,16.241208365608056,21.418243190565004,7.246053678415057,7.992845741535725,110.48381099922541,208.84089852827265,78.34670797831139,86.66405848468162,16.85994433939748,21.418243190565004
21,pyt_2018_lwr5_2160_2021_0915,berry,22,1.4761252827891072,1.7254571858943133,0.15863450329170212,1.4950566224160813,"(498, 280, 577, 358)",115.35448815474896,33.54140404259943,14.479895674853292,22.83615240170102,16.024611331931467,7.090626288778802,7.782003912193002,223.22321234514237,115.35448815474896,21.191945000662184,13.811125113509334,22.83615240170102
22,pyt_2018_lwr5_2160_2021_0915,berry,23,1.87667674899403,3.211652975439882,0.5092922041261965,2.180676935221576,"(571, 359, 683, 456)",78.90810368986455,15.881130312937879,16.93717888836992,18.188895059994547,6.2133088411909645,7.0965533786081485,96.27241943017282,205.19967304997664,78.90810368986455,88.6577878410595,16.683051665618322,18.188895059994547
23,pyt_2018_lwr5_2160_2021_0915,berry,24,1.6191980177538905,2.4713677146367146,0.5536338363066071,1.9443748500997668,"(572, 902, 659, 1000)",64.77116843702579,15.097875569044007,17.650682852807282,15.213458032661014,5.622843478139961,6.755247181310338,143.04734446130502,194.29529590288317,64.77116843702579,70.39902876939038,20.754279424784468,15.213458032661014
24,pyt_2018_lwr5_2160_2021_0915,berry,25,1.6403366990026773,2.294359283482158,0.39253029244847076,1.7834804894840253,"(575, 729, 667, 813)",143.73520758417783,36.94622425629291,29.76511932003923,32.18920100044632,15.687665909357232,15.380291390810726,2.012422360248447,204.61229159856163,143.73520758417783,4.071264804332825,18.43103982704745,32.18920100044632
25,pyt_2018_lwr5_2160_2021_0915,berry,26,1.7029049990257437,2.632250377698801,0.5050086666724045,1.9729774540932583,"(580, 179, 674, 278)",124.9964382390654,27.796694685852685,25.501923350904686,33.70402613672924,11.864979118977052,10.557225547468294,19.28437099301895,203.40347627867217,124.9964382390654,54.237900754534344,16.195940821681706,33.70402613672924
